الجرد,الشفرة,العنوان,المؤلف,الناشر,السنة,ISBN,السعر,المصدر
17/01,MF/681/1,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/02,MF/681/2,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/03,MF/681/3,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/04,MF/681/4,Maths PC,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,175","6,816.00",شراء
17/05,MF/682/1,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/06,MF/682/2,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/07,MF/682/3,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/08,MF/682/4,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/09,MF/682/5,Calcul différentiel et calcul intégral - Cours - 170 exercices corrigés - Exemples d'application,El Jaouhari,Dunod,2017,978-2-10-07612-3,"6,240.00",شراء
17/10,INF/524/1,"Informatique: les fondamentaux, des exemples concrets, 300 QCM et exercices corrigés...lexique Français anglais","Delacroix, Lambert, Plateau",Dunod,2017,978-2-10-076094-7,"6,739.20",شراء
17/11,INF/524/2,"Informatique: les fondamentaux, des exemples concrets, 300 QCM et exercices corrigés...lexique Français anglais","Delacroix, Lambert, Plateau",Dunod,2017,978-2-10-076094-7,"6,739.20",شراء
17/12,MF/683/1,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/13,MF/683/2,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/14,MF/683/3,Mathématiques Exercices incontournables BCPST 1,"Rousse, Blanc",Dunod,2017,978-2-10-76633-8,"5,468.16",شراء
17/15,MF/684/1,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/16,MF/684/2,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/17,MF/684/3,Analyse complexe et applications - Cours et exercices,"Hervé Queffélec, Martine Queffélec",Calvage et Mounet,2017,978-2-916352-59-6,"7,541.76",شراء
17/18,MF/685/1,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/19,MF/685/2,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/20,MF/685/3,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/21,MF/685/4,Maths PSI,"Gugger, Sylvain",Dunod,2017,"9,782,100,767,168","6,816.00",شراء
17/22,MF/686/1,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/23,MF/686/2,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/24,MF/686/3,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/25,MF/686/4,Maths MP,Sylvain Gugger,Dunod,2017,978-2-10-076718-2,"6,816.00",شراء
17/26,MF/687/1,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/27,MF/687/2,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/28,MF/687/3,Maths PCSI,Sylvain Gugger,Dunod,2017,"9,782,100,754,847","6,816.00",شراء
17/29,MF/688/1,"Mathématiques IUT 1re année - 2e édition L'essentiel du cours, exercices avec corrigés détaillés",Thierry Alhalel ,Dunod,2017,978-2-10-076726-7,"2,972.16",شراء
17/30,MF/688/2,"Mathématiques IUT 1re année - 2e édition L'essentiel du cours, exercices avec corrigés détaillés",Thierry Alhalel ,Dunod,2017,978-2-10-076726-7,"2,972.16",شراء
17/31,PHF/479/1,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/32,PHF/479/2,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/33,PHF/479/3,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/34,PHF/479/4,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/35,PHF/479/5,Noyaux et radioactivité: Une introduction à la physique des particules et à la physique nucléaire,Pascal Debu,Presses de l'Ecole des Mines,2017,978-2-35671-405-3,"5,095.68",شراء
17/36,PHF/480/1,Electricité - Exercices et méthodes Licence.Capes.IUT,Yves Granjon ,Dunod,2017,978-2-10-076174-6,"4,193.28",شراء
17/37,PHF/480/2,Electricité - Exercices et méthodes Licence.Capes.IUT,Yves Granjon ,Dunod,2017,978-2-10-076174-6,"4,193.28",شراء
17/38,PHF/480/3,Electricité - Exercices et méthodes Licence.Capes.IUT,Yves Granjon ,Dunod,2017,978-2-10-076174-6,"4,193.28",شراء
17/39,PHF/480/4,Electricité - Exercices et méthodes Licence.Capes.IUT,Yves Granjon ,Dunod,2017,978-2-10-076174-6,"4,193.28",شراء
17/40,PHF/480/5,Electricité - Exercices et méthodes Licence.Capes.IUT,Yves Granjon ,Dunod,2017,978-2-10-076174-6,"4,193.28",شراء
17/41,PHF/481/1,Physique Exercices incontournables PC,Beury,Dunod,2017,978-2-10-076266-8,"5,468.16",شراء
17/42,PHF/481/2,Physique Exercices incontournables PC,Beury,Dunod,2017,978-2-10-076266-8,"5,468.16",شراء
17/43,PHF/482/1,Le nano et le micro dans la tribologie : Actes des journées internationales francophones de tribologie (JIFT 2011)," Hervé Pelletier, Christian Gauthier ",Presses de l'Ecole des Mines,2017,978-2-35671-408-4,"9,173.76",شراء
17/44,PHF/482/2,Le nano et le micro dans la tribologie : Actes des journées internationales francophones de tribologie (JIFT 2011)," Hervé Pelletier, Christian Gauthier ",Presses de l'Ecole des Mines,2017,978-2-35671-408-4,"9,173.76",شراء
17/45,PHF/483/1,Physique Exercices incontournables PSI,Beury,Dunod,2017,978-2-10-071267-0,"5,468.16",شراء
17/46,PHF/483/2,Physique Exercices incontournables PSI,Beury,Dunod,2017,978-2-10-071267-0,"5,468.16",شراء
17/47,PHF/483/3,Physique Exercices incontournables PSI,Beury,Dunod,2017,978-2-10-071267-0,"5,468.16",شراء
17/48,PHF/484/1,"Ondes et vibrations : fondamentaux et applications à l'acoustique et à la diffusion de la chaleur : cours, 25 exercices et problèmes corrigés","Lefort, Ronan",Dunod,2017,978-2-10-075943-9,"8,736.00",شراء
17/49,PHF/484/2,"Ondes et vibrations : fondamentaux et applications à l'acoustique et à la diffusion de la chaleur : cours, 25 exercices et problèmes corrigés","Lefort, Ronan",Dunod,2017,978-2-10-075943-9,"8,736.00",شراء
17/50,PHF/484/3,"Ondes et vibrations : fondamentaux et applications à l'acoustique et à la diffusion de la chaleur : cours, 25 exercices et problèmes corrigés","Lefort, Ronan",Dunod,2017,978-2-10-075943-9,"8,736.00",شراء
17/51,PHF/485/1,Les rayonnements électromagnétiques - Résumés de cours et problèmes corrigés ,Kamel Aït-Ameur,Ellipses,2016,9782340-010635,"7,913.92",شراء
17/52,PHF/485/2,Les rayonnements électromagnétiques - Résumés de cours et problèmes corrigés ,Kamel Aït-Ameur,Ellipses,2016,9782340-010635,"7,913.92",شراء
17/53,PHF/485/3,Les rayonnements électromagnétiques - Résumés de cours et problèmes corrigés ,Kamel Aït-Ameur,Ellipses,2016,9782340-010635,"7,913.92",شراء
17/54,PHF/523/1,"Electronique : Volume 1, Amplificateur opérationnel et applications",Maher Kayal,Presses polytechniques et universitaires romandes,2017,978-2-88915-132-5,"7,891.90",شراء
17/55,PHF/523/2,"Electronique : Volume 1, Amplificateur opérationnel et applications",Maher Kayal,Presses polytechniques et universitaires romandes,2017,978-2-88915-132-5,"7,891.90",شراء
17/56,PHF/523/3,"Electronique : Volume 1, Amplificateur opérationnel et applications",Maher Kayal,Presses polytechniques et universitaires romandes,2017,978-2-88915-132-5,"7,891.90",شراء
17/57,MF/689/1,36 problèmes corrigés pour le CAPES de mathématiques,François Cottet-Emard ,De Boeck,2016,978-2-8073-0208-2,"4,966.92",شراء
17/58,MF/689/2,36 problèmes corrigés pour le CAPES de mathématiques,François Cottet-Emard ,De Boeck,2016,978-2-8073-0208-2,"4,966.92",شراء
17/59,MF/689/3,36 problèmes corrigés pour le CAPES de mathématiques,François Cottet-Emard ,De Boeck,2016,978-2-8073-0208-2,"4,966.92",شراء
17/60,MF/689/4,36 problèmes corrigés pour le CAPES de mathématiques,François Cottet-Emard ,De Boeck,2016,978-2-8073-0208-2,"4,966.92",شراء
17/61,MF/689/5,36 problèmes corrigés pour le CAPES de mathématiques,François Cottet-Emard ,De Boeck,2016,978-2-8073-0208-2,"4,966.92",شراء
17/62,MF/690/1,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/63,MF/690/2,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/64,MF/690/3,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/65,MF/690/4,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/66,MF/690/5,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/67,MF/690/6,Calcul intégral 5e édition,Gilles Charon Pierre Parent,Chenelière Education,2016,978-2-7650-4748-3,"18,240.00",شراء
17/68,MF/691/1,Calcul parallèle avec R,"Vincent Miele, Violaine Louvet",EDP Sciences,2016,978-2-7598-2060-3,"3,645.32",شراء
17/69,MF/692/1,"Biomathématiques de la croissance, Le cas des végétaux",Buis Roger,EDP Sciences,2016,978-2-7598-1778-8,"24,723.08",شراء
17/70,MF/692/2,"Biomathématiques de la croissance, Le cas des végétaux",Buis Roger,EDP Sciences,2016,978-2-7598-1778-8,"24,723.08",شراء
17/71,MF/693/1,Analyse de données textuelles sous R,Nicolas Turenne,ISTE éditions,2016,978-1-78406,"22,124.54",شراء
17/72,MF/693/2,Analyse de données textuelles sous R,Nicolas Turenne,ISTE éditions,2016,978-1-78406,"22,124.54",شراء
17/73,MF/693/3,Analyse de données textuelles sous R,Nicolas Turenne,ISTE éditions,2016,978-1-78406,"22,124.54",شراء
17/74,MF/694/1,Maths - Visa pour la prépa 2016-2017 - MPSI-PCSI-PTSI-BCPST-ECS,Guillaume Connan,Dunod,2016,978-2-10-74698-9,"2,462.12",شراء
17/75,MF/694/2,Maths - Visa pour la prépa 2016-2017 - MPSI-PCSI-PTSI-BCPST-ECS,Guillaume Connan,Dunod,2016,978-2-10-74698-9,"2,462.12",شراء
17/76,MF/694/3,Maths - Visa pour la prépa 2016-2017 - MPSI-PCSI-PTSI-BCPST-ECS,Guillaume Connan,Dunod,2016,978-2-10-74698-9,"2,462.12",شراء
17/77,MF/694/4,Maths - Visa pour la prépa 2016-2017 - MPSI-PCSI-PTSI-BCPST-ECS,Guillaume Connan,Dunod,2016,978-2-10-74698-9,"2,462.12",شراء
17/78,MF/694/5,Maths - Visa pour la prépa 2016-2017 - MPSI-PCSI-PTSI-BCPST-ECS,Guillaume Connan,Dunod,2016,978-2-10-74698-9,"2,462.12",شراء
17/79,MF/695/1,Topologie : cours et exercices corrigés,"Queffélec, Hervé",Dunod,2016,978-2-10-075417-5,"8,486.40",شراء
17/80,MF/695/2,Topologie : cours et exercices corrigés,"Queffélec, Hervé",Dunod,2016,978-2-10-075417-5,"8,486.40",شراء
17/81,MF/695/3,Topologie : cours et exercices corrigés,"Queffélec, Hervé",Dunod,2016,978-2-10-075417-5,"8,486.40",شراء
17/82,MF/696/1,Analyse de données avec R,"Husson, François Lê, Sébastien",PU Rennes,2016,978-2-753-4869-5,"3,667.20",شراء
17/83,MF/696/2,Analyse de données avec R,"Husson, François Lê, Sébastien",PU Rennes,2016,978-2-753-4869-5,"3,667.20",شراء
17/84,MF/697/1,Analyses factorielles simples et multiples - Cours et études de cas,"Escofier, Pagès",Dunod,2016,978-2-10-074144-1,"9,235.20",شراء
17/85,MF/697/2,Analyses factorielles simples et multiples - Cours et études de cas,"Escofier, Pagès",Dunod,2016,978-2-10-074144-1,"9,235.20",شراء
17/86,MF/698/1,Tout-en-fiches - Maths/Physique/Chimie - Visa pour la prépa,Marie-Virginie Speller,Dunod,2016,978-2-10-09277-7,"2,462.12",شراء
17/87,MF/698/2,Tout-en-fiches - Maths/Physique/Chimie - Visa pour la prépa,Marie-Virginie Speller,Dunod,2016,978-2-10-09277-7,"2,462.12",شراء
17/88,MF/698/3,Tout-en-fiches - Maths/Physique/Chimie - Visa pour la prépa,Marie-Virginie Speller,Dunod,2016,978-2-10-09277-7,"2,462.12",شراء
17/89,MF/699/1,Toute l'algèbre de la licence : cours et exercices corrigés,"Escofier, Jean-Pierre",Dunod,2016,978-2-10-075165-5,"9,484.80",شراء
17/90,MF/699/2,Toute l'algèbre de la licence : cours et exercices corrigés,"Escofier, Jean-Pierre",Dunod,2016,978-2-10-075165-5,"9,484.80",شراء
17/91,MF/699/3,Toute l'algèbre de la licence : cours et exercices corrigés,"Escofier, Jean-Pierre",Dunod,2016,978-2-10-075165-5,"9,484.80",شراء
17/92,MF/700/1,Le théorème des nombres premiers,Michel Balazard,Calvage et Mounet,2016,978-2-91-635252-7,"3,463.68",شراء
17/93,MF/700/2,Le théorème des nombres premiers,Michel Balazard,Calvage et Mounet,2016,978-2-91-635252-7,"3,463.68",شراء
17/94,MF/700/3,Le théorème des nombres premiers,Michel Balazard,Calvage et Mounet,2016,978-2-91-635252-7,"3,463.68",شراء
17/95,MF/701/1,Mathématiques Exercices incontournables MPSI,Julien Freslon,Dunod,2016,978-2-10-07517-7,"3,083.62",شراء
17/96,MF/702/1,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/97,MF/702/2,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/98,MF/702/3,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/99,MF/702/4,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/100,MF/702/5,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/101,MF/702/6,Mathématiques Méthodes et Exercices MP,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-074907-2,"7,464.96",شراء
17/102,MF/703/1,Mathématiques Méthodes et Exercices PCSI-PTSI,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-070400-2,"7,464.96",شراء
17/103,MF/703/2,Mathématiques Méthodes et Exercices PCSI-PTSI,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-070400-2,"7,464.96",شراء
17/104,MF/703/3,Mathématiques Méthodes et Exercices PCSI-PTSI,"Monier, Haberer, Lardon",Dunod,2016,978-2-10-070400-2,"7,464.96",شراء
17/105,MF/704/1,"Analyse : Volume 2 , Recueil d'exercices et aide-mémoire",Jacques Douchet ,Presses polytechniques et universitaires romandes,2016,978-2-88074-570-7,"8,666.48",شراء
17/106,MF/704/2,"Analyse : Volume 2 , Recueil d'exercices et aide-mémoire",Jacques Douchet ,Presses polytechniques et universitaires romandes,2016,978-2-88074-570-7,"8,666.48",شراء
17/107,MF/704/3,"Analyse : Volume 2 , Recueil d'exercices et aide-mémoire",Jacques Douchet ,Presses polytechniques et universitaires romandes,2016,978-2-88074-570-7,"8,666.48",شراء
17/108,MF/705/1,Savoir-faire en maths,"Yves Biollay, Amel Chaabouni, Joachim Stubbe",Presses polytechniques et universitaires romandes,2016,978-2-8074-779-4,"5,717.26",شراء
17/109,MF/705/2,Savoir-faire en maths,"Yves Biollay, Amel Chaabouni, Joachim Stubbe",Presses polytechniques et universitaires romandes,2016,978-2-8074-779-4,"5,717.26",شراء
17/110,MF/705/3,Savoir-faire en maths,"Yves Biollay, Amel Chaabouni, Joachim Stubbe",Presses polytechniques et universitaires romandes,2016,978-2-8074-779-4,"5,717.26",شراء
17/111,MF/706/1,Statistique appliquée aux sciences de la vie,Valentin Rousson,Tec & Doc Lavoisier,2017,978-2-7462-4799-4,"10,560.00",شراء
17/112,MF/706/2,Statistique appliquée aux sciences de la vie,Valentin Rousson,Tec & Doc Lavoisier,2017,978-2-7462-4799-4,"10,560.00",شراء
17/113,MF/707/1,"Préparer ses études scientifiques : Introduction aux fonctions trigonométriques, logarithmiques et exponentielles",Hans-Jörg Ruppen,Presses polytechniques et universitaires romandes,2016,978-2-88915-127-1,"9,441.20",شراء
17/114,MF/707/2,"Préparer ses études scientifiques : Introduction aux fonctions trigonométriques, logarithmiques et exponentielles",Hans-Jörg Ruppen,Presses polytechniques et universitaires romandes,2016,978-2-88915-127-1,"9,441.20",شراء
17/115,MF/707/3,"Préparer ses études scientifiques : Introduction aux fonctions trigonométriques, logarithmiques et exponentielles",Hans-Jörg Ruppen,Presses polytechniques et universitaires romandes,2016,978-2-88915-127-1,"9,441.20",شراء
17/116,MF/708/1,"Outils mathématiques pour physiciens et ingénieurs : rappels de cours et exercices corrigés : licence, IUT","Poitevin, Jean-Marc",Dunod,2017,978-2-10-075888-3,"5,491.20",شراء
17/117,MF/708/2,"Outils mathématiques pour physiciens et ingénieurs : rappels de cours et exercices corrigés : licence, IUT","Poitevin, Jean-Marc",Dunod,2017,978-2-10-075888-3,"5,491.20",شراء
17/118,MF/708/3,"Outils mathématiques pour physiciens et ingénieurs : rappels de cours et exercices corrigés : licence, IUT","Poitevin, Jean-Marc",Dunod,2017,978-2-10-075888-3,"5,491.20",شراء
17/119,PHF/486/1,TRAITEMENT DU SIGNAL NUMERIQUE OPTIQUE,"Stéphane Gautier, Arnaud Margolle",Vuibert,2016,97-2-311-40309-1,"6,524.28",شراء
17/120,PHF/487/1,Physique chimie MP/MP* ,Marc Venturi,Ellipses,2016,9782340-010581,"7,447.44",شراء
17/121,PHF/487/2,Physique chimie MP/MP* ,Marc Venturi,Ellipses,2016,9782340-010581,"7,447.44",شراء
17/122,PHF/487/3,Physique chimie MP/MP* ,Marc Venturi,Ellipses,2016,9782340-010581,"7,447.44",شراء
17/123,PHF/488/1,"Physique Volume 3, Ondes, optique et physique moderne",Benson,De Boeck,2016,978-2-8041-7132-2,"16,300.20",شراء
17/124,PHF/488/2,"Physique Volume 3, Ondes, optique et physique moderne",Benson,De Boeck,2016,978-2-8041-7132-2,"16,300.20",شراء
17/125,PHF/489/1,Résistance mécanique des matériaux et des structures - Cours et exercices corrigés 2 ème édition,"Pierre-Alain Boucard, François Hild, Jean Lemaître",Dunod,2016,978-2-10-074931-2,"6,489.60",شراء
17/126,PHF/489/2,Résistance mécanique des matériaux et des structures - Cours et exercices corrigés 2 ème édition,"Pierre-Alain Boucard, François Hild, Jean Lemaître",Dunod,2016,978-2-10-074931-2,"6,489.60",شراء
17/127,PHF/489/3,Résistance mécanique des matériaux et des structures - Cours et exercices corrigés 2 ème édition,"Pierre-Alain Boucard, François Hild, Jean Lemaître",Dunod,2016,978-2-10-074931-2,"6,489.60",شراء
17/128,PHF/490/1,Passeport pour les deux infinis,Nicolas Arnaud,Dunod,2016,978-2-10-075425-0,"3,744.00",شراء
17/129,PHF/490/2,Passeport pour les deux infinis,Nicolas Arnaud,Dunod,2016,978-2-10-075425-0,"3,744.00",شراء
17/130,PHF/491/1,Relativité générale : cours et exercices corrigés,"Barrau, Aurélien",Dunod,2016,978-2-10-074737-5,"6,739.20",شراء
17/131,PHF/491/2,Relativité générale : cours et exercices corrigés,"Barrau, Aurélien",Dunod,2016,978-2-10-074737-5,"6,739.20",شراء
17/132,PHF/492/1,Le Contrôle Non Destructif (CND),G.Corneloup et C.Gueudré,Presses polytechniques et universitaires romandes,2016,978-2-891-002-1,"10,748.42",شراء
17/133,PHF/493/1,"Super manuel de physique Tout le semestre 2 : mécanique, thermodynamique, fluides, magnétisme et induction : classes prépas scientifiques MPSI, PCSI, PTS",Jérôme Majou et Stéphane Komilikis,Bréal,2016,978 2 7495 3544 9,"7,786.80",شراء
17/134,PHF/494/1,Physique-Chimie BCPST 1re année,"Bresson, Guillerand",Dunod,2016,978-2-10-074927-0,"9,734.40",شراء
17/135,PHF/494/2,Physique-Chimie BCPST 1re année,"Bresson, Guillerand",Dunod,2016,978-2-10-074927-0,"9,734.40",شراء
17/136,PHF/494/3,Physique-Chimie BCPST 1re année,"Bresson, Guillerand",Dunod,2016,978-2-10-074927-0,"9,734.40",شراء
17/137,PHF/495/1,Toute la physique à portée de main,"Boqueho, Vincent",Dunod,2016,978-2-10-07335-9,"5,740.80",شراء
17/138,PHF/495/2,Toute la physique à portée de main,"Boqueho, Vincent",Dunod,2016,978-2-10-07335-9,"5,740.80",شراء
17/139,PHF/495/3,Toute la physique à portée de main,"Boqueho, Vincent",Dunod,2016,978-2-10-07335-9,"5,740.80",شراء
17/140,PHF/496/1,Hydrodynamique navale,Alain Bovis ,ENSTA,2016,978-2-7225-0953-5,"5,909.76",شراء
17/141,PHF/496/2,Hydrodynamique navale,Alain Bovis ,ENSTA,2016,978-2-7225-0953-5,"5,909.76",شراء
17/142,PHF/497/1,Physique Chimie - Visa pour la prépa - MPSI-PCSI-PTSI-BCPST,Séverine Bagard,Dunod,2016,978-2-10-059286-9,"2,462.12",شراء
17/143,PHF/497/2,Physique Chimie - Visa pour la prépa - MPSI-PCSI-PTSI-BCPST,Séverine Bagard,Dunod,2016,978-2-10-059286-9,"2,462.12",شراء
17/144,PHF/497/3,Physique Chimie - Visa pour la prépa - MPSI-PCSI-PTSI-BCPST,Séverine Bagard,Dunod,2016,978-2-10-059286-9,"2,462.12",شراء
17/145,PHF/498/1,"Expériences de physique - Optique, mécanique, fluides, acoustique - Capes/Agréga","Bellier, Bouloy, Guéant",Dunod,2017,978-2-10-075396-3,"9,763.20",شراء
17/146,PHF/498/2,"Expériences de physique - Optique, mécanique, fluides, acoustique - Capes/Agréga","Bellier, Bouloy, Guéant",Dunod,2017,978-2-10-075396-3,,شراء
17/147,PHF/498/3,"Expériences de physique - Optique, mécanique, fluides, acoustique - Capes/Agréga","Bellier, Bouloy, Guéant",Dunod,2017,978-2-10-075396-3,,شراء
17/148,PHF/524/1,Electronique - IUT 1re année GEII,"Duveau, Pasquinelli, Tholomier",Dunod,2017,978-2-10-076309-2,"4,970.40",شراء
17/149,PHF/524/2,Electronique - IUT 1re année GEII,"Duveau, Pasquinelli, Tholomier",Dunod,2017,978-2-10-076309-2,"4,970.40",شراء
17/150,PHF/524/3,Electronique - IUT 1re année GEII,"Duveau, Pasquinelli, Tholomier",Dunod,2017,978-2-10-076309-2,"4,970.40",شراء
17/151,PHF/499/1,Physique - Méthodes et exercices - PSI,Fiat,Dunod,2017,978-2-10-075369-3,"7,440.96",شراء
17/152,PHF/499/2,Physique - Méthodes et exercices - PSI,Fiat,Dunod,2017,978-2-10-075369-3,"7,440.96",شراء
17/153,PHF/499/3,Physique - Méthodes et exercices - PSI,Fiat,Dunod,2017,978-2-10-075369-3,"7,440.96",شراء
17/154,PHF/500/1,"Expériences de physique -électricité, électromagnétisme, électronique - Capes/Agrégation/CAPLP","Bellier, Bouloy, Guéant",Dunod,2017,978-2-10-075957-6,"8,496.00",شراء
17/155,PHF/501/1,Mécanique quantique,Leonard Susskind et Art Friedman,Presses polytechniques et universitaires romandes,2016,978-2-88915-155-4,"6,132.46",شراء
17/156,PHF/501/2,Mécanique quantique,Leonard Susskind et Art Friedman,Presses polytechniques et universitaires romandes,2016,978-2-88915-155-4,"6,132.46",شراء
17/157,PHF/501/3,Mécanique quantique,Leonard Susskind et Art Friedman,Presses polytechniques et universitaires romandes,2016,978-2-88915-155-4,"6,132.46",شراء
17/158,PHF/502/1,Mécanique des milieux continus,"John Botsis, Michel Deville",Presses polytechniques et universitaires romandes,2016,2-88074-643-4,"9,987.84",شراء
17/159,PHF/502/2,Mécanique des milieux continus,"John Botsis, Michel Deville",Presses polytechniques et universitaires romandes,2016,2-88074-643-4,"9,987.84",شراء
17/160,PHF/502/3,Mécanique des milieux continus,"John Botsis, Michel Deville",Presses polytechniques et universitaires romandes,2016,2-88074-643-4,"9,987.84",شراء
17/161,PHF/503/1,Physique statistique,Pavloff et  Sator,Vuibert,2016,978-2-311-00966-8,"7,900.20",شراء
17/162,PHF/503/2,Physique statistique,Pavloff et  Sator,Vuibert,2016,978-2-311-00966-8,"7,900.20",شراء
17/163,PHF/503/3,Physique statistique,Pavloff et  Sator,Vuibert,2016,978-2-311-00966-8,"7,900.20",شراء
17/164,PHF/504/1,"La physique autour de nous, De l'observation à l’innovation","D.Babot, V.Massardier-Jourdan",Presses polytechniques et universitaires romandes,2016,978-2-88915-070-0,"9,892.24",شراء
17/165,PHF/504/2,"La physique autour de nous, De l'observation à l’innovation","D.Babot, V.Massardier-Jourdan",Presses polytechniques et universitaires romandes,2016,978-2-88915-070-0,"9,892.24",شراء
17/166,PHF/504/3,"La physique autour de nous, De l'observation à l’innovation","D.Babot, V.Massardier-Jourdan",Presses polytechniques et universitaires romandes,2016,978-2-88915-070-0,"9,892.24",شراء
17/167,MF/709/1,"Relativité, fondements et applications - Avec 150 exercices et problèmes résolus",José-Philippe Pérez,Dunod,2016,978-2-10-074717-7,"9,459.46",شراء
17/168,MF/709/2,"Relativité, fondements et applications - Avec 150 exercices et problèmes résolus",José-Philippe Pérez,Dunod,2016,978-2-10-074717-7,"9,459.46",شراء
17/169,MF/709/3,"Relativité, fondements et applications - Avec 150 exercices et problèmes résolus",José-Philippe Pérez,Dunod,2016,978-2-10-074717-7,"9,459.46",شراء
17/170,PHF/505/1,"Mécanique vibratoire, Systèmes discrets linéaires",M.Del Pedro et P. Pahud,Presses polytechniques et universitaires romandes,2016,978-2-88074-243-0,"10,748.42",شراء
17/171,PHF/505/2,"Mécanique vibratoire, Systèmes discrets linéaires",M.Del Pedro et P. Pahud,Presses polytechniques et universitaires romandes,2016,978-2-88074-243-0,"10,748.42",شراء
17/172,PHF/505/3,"Mécanique vibratoire, Systèmes discrets linéaires",M.Del Pedro et P. Pahud,Presses polytechniques et universitaires romandes,2016,978-2-88074-243-0,"10,748.42",شراء
17/173,PHF/506/1,Optique non linéaire,F. Hache,EDP Sciences,2016,978-2-7598-1840-2,"10,150.28",شراء
17/174,PHF/506/2,Optique non linéaire,F. Hache,EDP Sciences,2016,978-2-7598-1840-2,"10,150.28",شراء
